seq_len,iso_count,n_dons,n_accs,time
450,49,13,11,0.00010561943054199219
450,27,7,14,7.176399230957031e-05
450,40,10,12,9.703636169433594e-05
450,6,4,9,3.719329833984375e-05
450,68,15,7,0.00020194053649902344
450,119,13,12,0.0001735687255859375
450,47,10,8,9.393692016601562e-05
450,54,14,12,0.00011873245239257812
450,221,12,10,0.00020623207092285156
450,174,15,12,0.0002415180206298828
450,10,3,12,4.363059997558594e-05
450,336,12,15,0.0003895759582519531
450,21,8,10,8.082389831542969e-05
450,84,14,11,0.00015878677368164062
450,120,12,18,0.0002124309539794922
450,68,14,9,0.0001201629638671875
450,206,12,14,0.00034618377685546875
450,58,6,13,7.295608520507812e-05
450,38,11,9,9.72747802734375e-05
450,37,11,10,9.846687316894531e-05
450,20,9,7,7.104873657226562e-05
450,55,11,9,0.00012612342834472656
450,22,9,5,5.364418029785156e-05
450,40,9,8,6.747245788574219e-05
450,233,14,15,0.0003383159637451172
450,103,9,15,0.0001838207244873047
450,215,8,19,0.00017213821411132812
450,155,13,11,0.00020122528076171875
450,71,13,11,0.0001811981201171875
450,176,13,13,0.00027942657470703125
450,91,6,14,0.00011229515075683594
450,83,13,15,0.000247955322265625
450,124,10,12,0.0001742839813232422
450,50,12,9,0.000125885009765625
450,180,14,14,0.00029850006103515625
